frame,kp_0_v,kp_0_x,kp_0_y,kp_10_v,kp_10_x,kp_10_y,kp_11_v,kp_11_x,kp_11_y,kp_12_v,kp_12_x,kp_12_y,kp_13_v,kp_13_x,kp_13_y,kp_14_v,kp_14_x,kp_14_y,kp_15_v,kp_15_x,kp_15_y,kp_16_v,kp_16_x,kp_16_y,kp_17_v,kp_17_x,kp_17_y,kp_18_v,kp_18_x,kp_18_y,kp_19_v,kp_19_x,kp_19_y,kp_1_v,kp_1_x,kp_1_y,kp_20_v,kp_20_x,kp_20_y,kp_21_v,kp_21_x,kp_21_y,kp_22_v,kp_22_x,kp_22_y,kp_23_v,kp_23_x,kp_23_y,kp_24_v,kp_24_x,kp_24_y,kp_25_v,kp_25_x,kp_25_y,kp_26_v,kp_26_x,kp_26_y,kp_27_v,kp_27_x,kp_27_y,kp_28_v,kp_28_x,kp_28_y,kp_29_v,kp_29_x,kp_29_y,kp_2_v,kp_2_x,kp_2_y,kp_30_v,kp_30_x,kp_30_y,kp_31_v,kp_31_x,kp_31_y,kp_32_v,kp_32_x,kp_32_y,kp_3_v,kp_3_x,kp_3_y,kp_4_v,kp_4_x,kp_4_y,kp_5_v,kp_5_x,kp_5_y,kp_6_v,kp_6_x,kp_6_y,kp_7_v,kp_7_x,kp_7_y,kp_8_v,kp_8_x,kp_8_y,kp_9_v,kp_9_x,kp_9_y
0,0.9996281862258911,2254,837,0.9998335838317871,2167,946,0.997948944568634,2686,1379,0.9986748695373535,1692,1359,0.25785577297210693,2806,2091,0.5446935892105103,1520,2041,0.02058902196586132,2846,2159,0.05274387449026108,1531,2159,0.019141612574458122,2912,2159,0.036361150443553925,1521,2159,0.032223302870988846,2821,2159,0.9990758895874023,2307,744,0.058117982000112534,1604,2159,0.034342311322689056,2779,2159,0.06275022774934769,1619,2159,0.004576105158776045,2467,2159,0.004728012252599001,1812,2159,0.0024562962353229523,2447,2159,0.0010971094015985727,1848,2159,0.00016208582383114845,2425,2159,7.474066660506651e-05,1834,2159,0.00012016924301860854,2428,2159,0.9992412328720093,2344,744,0.00014497638039756566,1817,2159,0.00016558723291382194,2333,2159,0.00021701469086110592,1922,2159,0.9989771842956543,2378,745,0.9991218447685242,2196,738,0.999308705329895,2152,735,0.9992019534111023,2114,733,0.9988497495651245,2411,789,0.9995294809341431,2046,768,0.9997219443321228,2298,951
1,0.9996417760848999,2255,837,0.9998378157615662,2171,943,0.9979972839355469,2687,1379,0.9987460374832153,1702,1355,0.24989932775497437,2803,2091,0.5418312549591064,1520,2038,0.019848322495818138,2844,2159,0.05368847772479057,1508,2159,0.018881456926465034,2912,2159,0.038030534982681274,1473,2159,0.031889982521533966,2823,2159,0.9991126656532288,2308,744,0.06070757657289505,1562,2159,0.03378691524267197,2781,2159,0.06507125496864319,1588,2159,0.004441594239324331,2466,2159,0.0046151806600391865,1812,2159,0.002416781149804592,2446,2159,0.001064015319570899,1846,2159,0.00016778976714704186,2426,2159,7.369540981017053e-05,1835,2159,0.00012380289263091981,2429,2159,0.9992713928222656,2345,744,0.00014194866525940597,1819,2159,0.00017344189109280705,2337,2159,0.00021064566681161523,1924,2159,0.999016523361206,2379,745,0.9991605281829834,2198,738,0.9993404150009155,2155,735,0.9992366433143616,2116,734,0.9988930821418762,2414,790,0.9995527863502502,2048,769,0.9997280836105347,2301,950
2,0.9996581673622131,2269,837,0.9998447299003601,2186,943,0.9980263710021973,2694,1378,0.9988110661506653,1711,1354,0.24395966529846191,2804,2087,0.5485237836837769,1520,2038,0.020014263689517975,2839,2159,0.05715206637978554,1494,2159,0.01933939754962921,2900,2159,0.04093765839934349,1453,2159,0.032579436898231506,2819,2159,0.9991579055786133,2327,744,0.06507931649684906,1541,2159,0.034504469484090805,2777,2159,0.06959012150764465,1571,2159,0.004337695427238941,2475,2159,0.00452752411365509,1819,2159,0.0023059959057718515,2446,2159,0.0010077616898342967,1836,2159,0.00016647872689645737,2422,2159,7.069610728649423e-05,1827,2159,0.00012323114788159728,2425,2159,0.9993012547492981,2363,745,0.0001374252897221595,1812,2159,0.00017231566016562283,2335,2159,0.0002049282775260508,1915,2159,0.9990606904029846,2394,746,0.9992073774337769,2215,738,0.9993751645088196,2172,735,0.9992797374725342,2132,734,0.9989306330680847,2433,791,0.9995772838592529,2059,769,0.9997385740280151,2315,950
3,0.9996735453605652,2281,837,0.9998499155044556,2198,942,0.9980236291885376,2711,1379,0.998879611492157,1723,1346,0.23832900822162628,2805,2088,0.5462474226951599,1519,2026,0.019409887492656708,2817,2159,0.05831371620297432,1456,2159,0.019223250448703766,2869,2159,0.04309004172682762,1400,2159,0.03239026293158531,2788,2159,0.9991965293884277,2347,744,0.0685005933046341,1491,2159,0.0342254713177681,2751,2159,0.07300975918769836,1529,2159,0.004158865660429001,2475,2159,0.004371703136712313,1819,2159,0.0022521871142089367,2436,2159,0.0009744694689288735,1818,2159,0.00016412464901804924,2390,2159,6.834929081378505e-05,1792,2159,0.00012094873090973124,2390,2159,0.9993286728858948,2382,744,0.00013238292012829334,1777,2159,0.00017265829956158996,2291,2159,0.00019663310376927257,1867,2159,0.9990997910499573,2418,746,0.9992504715919495,2233,738,0.9994086027145386,2189,735,0.9993216395378113,2148,734,0.9989729523658752,2463,791,0.9996011853218079,2074,768,0.9997437596321106,2328,949
4,0.9996881484985352,2302,837,0.9998550415039062,2219,940,0.9980460405349731,2731,1381,0.9989429116249084,1737,1340,0.2322407364845276,2814,2088,0.5454738140106201,1521,2013,0.019004063680768013,2826,2159,0.059316132217645645,1461,2159,0.01912195049226284,2877,2159,0.044673580676317215,1408,2159,0.03220229595899582,2802,2159,0.9992347955703735,2368,742,0.07077585160732269,1500,2159,0.03403821587562561,2764,2159,0.0752335712313652,1536,2159,0.003983387257903814,2481,2159,0.004193673841655254,1822,2159,0.0021537409629672766,2435,2159,0.0009347406448796391,1816,2159,0.0001604552089702338,2385,2159,6.620947533519939e-05,1792,2159,0.00011718253517756239,2384,2159,0.9993552565574646,2404,743,0.0001287944323848933,1777,2159,0.00017086508159991354,2290,2159,0.0001924589741975069,1870,2159,0.9991399049758911,2442,744,0.9992893934249878,2253,737,0.9994378685951233,2209,734,0.9993584752082825,2168,733,0.9990136623382568,2486,791,0.9996218681335449,2093,766,0.9997522234916687,2351,947
5,0.9997002482414246,2322,833,0.9998580813407898,2237,935,0.9980663061141968,2755,1381,0.9989843368530273,1753,1325,0.23132233321666718,2839,2088,0.5427388548851013,1526,1998,0.01931168884038925,2854,2159,0.05998505279421806,1464,2159,0.019695550203323364,2914,2159,0.04602910578250885,1412,2159,0.033128075301647186,2840,2159,0.999264121055603,2388,738,0.07296402752399445,1502,2159,0.03500257059931755,2798,2159,0.07737166434526443,1538,2159,0.003825575113296509,2481,2159,0.004013264551758766,1822,2159,0.0020709370728582144,2430,2159,0.0009020070428960025,1810,2159,0.00015462638111785054,2368,2159,6.384281005011871e-05,1781,2159,0.00011212834942853078,2366,2159,0.999377429485321,2426,738,0.00012483818863984197,1764,2159,0.000167483784025535,2269,2159,0.0001872833672678098,1859,2159,0.9991708397865295,2465,739,0.9993172287940979,2271,732,0.9994593262672424,2228,729,0.9993844628334045,2185,728,0.9990500211715698,2510,788,0.9996362924575806,2108,759,0.9997581243515015,2373,942
6,0.9997204542160034,2338,820,0.9998663663864136,2256,923,0.9981907606124878,2775,1373,0.9990535974502563,1773,1304,0.23497845232486725,2857,2087,0.5421335101127625,1532,1968,0.01963661052286625,2868,2159,0.05989972874522209,1484,2159,0.020188363268971443,2928,2159,0.04658239334821701,1428,2159,0.03400573134422302,2851,2159,0.9993148446083069,2401,727,0.07376351207494736,1521,2159,0.035809434950351715,2812,2159,0.07808731496334076,1556,2159,0.003689586417749524,2481,2159,0.0038627672474831343,1822,2159,0.0019512837752699852,2428,2159,0.0008505992591381073,1810,2159,0.00014943040150683373,2362,2159,6.088867303333245e-05,1780,2159,0.00010771196684800088,2360,2159,0.9994195699691772,2440,727,0.00012036421685479581,1761,2159,0.00016228409367613494,2257,2159,0.00018010716303251684,1858,2159,0.9992281198501587,2479,728,0.9993634819984436,2287,723,0.9994951486587524,2245,720,0.9994252920150757,2203,718,0.9991174936294556,2525,778,0.9996604323387146,2130,749,0.9997736811637878,2391,930
7,0.9997422099113464,2354,808,0.9998756647109985,2270,912,0.9983316659927368,2781,1363,0.9991217851638794,1785,1290,0.24047507345676422,2877,2080,0.5433778762817383,1539,1945,0.0205269493162632,2881,2159,0.05948405712842941,1487,2159,0.02104840613901615,2943,2159,0.046421561390161514,1432,2159,0.03561616688966751,2859,2159,0.9993693828582764,2415,716,0.07364470511674881,1523,2159,0.03727366402745247,2822,2159,0.07805370539426804,1556,2159,0.0036120901349931955,2483,2159,0.003779427381232381,1867,2159,0.0018235347233712673,2427,2159,0.0007922656950540841,1810,2159,0.00014697205915581435,2354,2159,5.7616201956989244e-05,1774,2159,0.00010548692807788029,2352,2159,0.9994648694992065,2452,716,0.00011730528785847127,1753,2159,0.00015721104864496738,2241,2159,0.00017324593500234187,1845,2159,0.9992899298667908,2490,716,0.9994130730628967,2304,712,0.9995330572128296,2262,708,0.9994681477546692,2219,704,0.9991874694824219,2533,766,0.9996845722198486,2145,735,0.9997913837432861,2404,920
8,0.9997624754905701,2365,788,0.9998844265937805,2281,891,0.9984702467918396,2786,1343,0.9991881847381592,1796,1271,0.2561093270778656,2902,2060,0.5442244410514832,1549,1922,0.02183719538152218,2888,2159,0.05864061042666435,1490,2159,0.02230744995176792,2956,2159,0.04648469015955925,1434,2159,0.03775663301348686,2864,2159,0.9994208812713623,2428,696,0.07375775277614594,1525,2159,0.03933459520339966,2829,2159,0.07852957397699356,1558,2159,0.0036050542257726192,2484,2159,0.0037778099067509174,1886,2159,0.0017155050300061703,2429,2159,0.0007461814675480127,1818,2159,0.00014531833585351706,2357,2159,5.569674976868555e-05,1776,2159,0.00010273307270836085,2355,2159,0.9995072484016418,2463,697,0.0001168306334875524,1754,2159,0.00015307986177504063,2245,2159,0.00016715205856598914,1844,2159,0.9993488788604736,2502,698,0.9994602203369141,2317,688,0.9995685815811157,2274,682,0.9995094537734985,2233,676,0.9992551207542419,2542,747,0.9997069239616394,2163,704,0.9998078346252441,2414,902
9,0.999779462814331,2367,766,0.9998916387557983,2282,870,0.9985884428024292,2789,1329,0.9992411732673645,1803,1261,0.27112752199172974,2945,2056,0.5499237775802612,1561,1925,0.023928657174110413,2937,2159,0.05871391296386719,1493,2159,0.023867134004831314,3000,2159,0.04670145735144615,1452,2159,0.0403548888862133,2899,2159,0.9994645118713379,2431,678,0.0742105171084404,1546,2159,0.042141642421483994,2862,2159,0.07942758500576019,1578,2159,0.003623957745730877,2503,2159,0.0037928808014839888,1916,2159,0.0015944767510518432,2455,2159,0.0006952545954845846,1849,2159,0.00013883932842873037,2382,2159,5.2501203754218295e-05,1796,2159,9.776694787433371e-05,2384,2159,0.9995426535606384,2466,679,0.00011353258742019534,1771,2159,0.00014447563444264233,2256,2159,0.0001599599199835211,1851,2159,0.9993993639945984,2503,681,0.9994998574256897,2318,668,0.9995977282524109,2275,662,0.9995436072349548,2234,657,0.9993128180503845,2544,732,0.9997239708900452,2166,691,0.9998223781585693,2416,883
